date,open,high,low,close,volume,open_interest,settle,atr,resistance_level,volume_ma,breakout_signal,price_breakout,volume_confirm,time_confirm,is_consolidation_breakout,is_second_breakout,ma5,ma10,ma20,ma60,adx,plus_di,minus_di,atr_ma,resistance_touches,mandatory_pass,bonus_score,total_score,final_signal,stop_loss_signal,trend_reversal_signal,exit_signal,symbol
20260601,1288.0,1387.5,1287.0,1377.0,1562733,547028,1346.5,43.25,1330.5,734736.15,True,True,True,True,False,False,1297.1,1254.4,1260.225,1204.5083333333334,17.9511267048764,42.1139554087531,14.94632535094963,36.95357142857143,9.0,True,0,70,True,False,True,True,JM0
20260506,3435.0,3494.0,3435.0,3493.0,591507,2072145,3473.0,33.57142857142857,3430.0,405371.6,True,True,True,True,False,False,3419.4,3399.0,3343.6,3292.0666666666666,50.343382366087425,52.76595744680852,5.319148936170214,25.657142857142855,20.0,True,0,70,True,False,False,False,HC0
20260422,3360.0,3392.0,3355.0,3388.0,536449,1634237,3374.0,25.0,3375.0,315036.1,True,True,True,True,True,False,3353.2,3315.6,3306.0,3277.9166666666665,21.248283980424066,32.285714285714285,14.857142857142858,25.657142857142855,20.0,True,0,70,True,False,False,False,HC0
20260420,3320.0,3370.0,3313.0,3362.0,682169,1404631,3342.0,24.785714285714285,3340.0,301145.8,True,True,True,True,True,False,3316.2,3295.9,3301.0,3275.5833333333335,22.629570094236925,28.530259365994237,15.85014409221902,26.15,20.0,True,0,70,True,False,False,False,HC0
20260323,1750.0,1863.0,1735.0,1847.0,44938,36704,1816.0,56.785714285714285,1810.0,20724.95,True,True,True,True,False,False,1752.4,1737.1,1704.45,1710.7,40.01767146465731,36.16352201257861,7.8616352201257875,50.841071428571425,5.0,True,0,70,True,False,False,False,J0
20260323,1178.0,1289.5,1171.0,1289.5,1695879,436844,1250.5,49.25,1205.0,923221.95,True,True,True,True,False,False,1190.5,1173.05,1142.8,1144.0,39.93328386299839,37.70848440899203,6.018854242204497,40.89107142857143,6.0,True,0,70,True,False,False,False,JM0
20260107,3113.0,3192.0,3110.0,3187.0,1937222,1741383,3154.0,35.285714285714285,3157.0,983178.05,True,True,True,True,True,False,3131.6,3129.7,3111.55,3090.616666666667,13.33962039315622,31.57894736842105,16.801619433198383,37.19642857142857,18.0,True,0,70,True,False,True,True,RB0
20260107,801.0,828.5,801.0,828.0,490615,666581,816.0,13.0,806.0,283361.5,True,True,True,True,False,False,800.9,792.05,779.275,781.3416666666667,37.146902860524584,42.857142857142854,4.395604395604395,12.353571428571428,12.0,True,0,70,True,False,False,False,I0
20250725,3318.0,3358.0,3288.0,3356.0,2877992,1998654,3316.0,54.142857142857146,3335.0,1863989.75,True,True,True,True,False,False,3291.0,3209.3,3137.45,3057.233333333333,58.41487394753964,41.68865435356201,4.089709762532982,36.260714285714286,20.0,True,0,70,True,False,False,False,RB0
20250724,1140.5,1198.5,1115.5,1198.5,2883448,463313,1166.0,41.142857142857146,1135.5,1320508.5,True,True,True,True,False,False,1062.9,987.45,917.375,854.0583333333333,64.41988383792622,62.84722222222222,3.819444444444444,28.296428571428567,15.0,True,0,70,True,False,False,False,JM0
20250721,3159.0,3240.0,3156.0,3224.0,2695588,2095915,3207.0,40.214285714285715,3177.0,1576242.75,True,True,True,True,False,False,3144.8,3124.4,3071.95,3044.6,49.25466434394331,50.444049733570154,8.525754884547068,32.56428571428572,20.0,True,0,70,True,False,False,False,RB0
20250710,3060.0,3130.0,3060.0,3123.0,2153427,2230034,3099.0,33.57142857142857,3095.0,1485678.45,True,True,True,True,False,False,3076.4,3051.8,3017.15,3039.6833333333334,28.772132785381938,41.91489361702128,14.468085106382977,33.44642857142857,17.0,True,0,70,True,False,False,False,RB0
20250710,3196.0,3268.0,3192.0,3262.0,901412,1597104,3233.0,35.07142857142857,3225.0,565225.6,True,True,True,True,False,False,3207.0,3181.4,3141.3,3162.4333333333334,32.53474363894118,41.140529531568234,12.423625254582484,34.635714285714286,15.0,True,0,70,True,False,False,False,HC0
20250710,736.0,766.0,735.0,763.5,514055,659915,750.5,11.928571428571429,741.0,376364.9,True,True,True,True,False,False,739.3,729.25,715.625,712.3833333333333,29.671449429575397,45.50898203592815,9.281437125748504,10.983928571428573,13.0,True,0,70,True,False,False,False,I0
20250702,3003.0,3071.0,3003.0,3065.0,2371284,2226379,3032.0,32.285714285714285,3027.0,1499100.95,True,True,True,True,True,False,3006.6,2995.9,2986.65,3045.983333333333,15.297619126297937,30.973451327433633,16.371681415929203,35.739285714285714,11.0,True,0,70,True,False,True,True,RB0
20250702,3138.0,3196.0,3136.0,3191.0,920428,1595758,3162.0,32.42857142857143,3150.0,564811.4,True,True,True,True,True,False,3134.8,3120.2,3106.2,3167.2,16.439818263369705,30.83700440528634,14.537444933920703,37.489285714285714,9.0,True,0,70,True,False,True,True,HC0
20250514,715.5,737.5,713.5,737.0,617096,744359,728.0,16.535714285714285,731.0,450476.95,True,True,True,True,False,False,711.9,709.5,710.575,754.8,20.12714059792432,27.429805615550755,15.766738660907128,18.89642857142857,4.0,True,0,70,True,False,False,False,I0
20240417,828.5,873.5,826.0,870.0,680232,500717,848.0,31.071428571428573,854.5,483926.7,True,True,True,True,False,False,842.2,814.85,811.025,877.925,33.873392070791176,22.64367816091954,24.252873563218387,30.044642857142854,4.0,True,0,70,True,False,False,False,I0
