symbol,n_signals,n_trades,pnl,wins
IM0,68,66,233880.21173373674,30
TF0,0,0,0.0,0
IC0,66,65,396422.2135544269,37
TS0,0,0,0.0,0
AU0,14,14,12374.441027740546,6
IF0,63,63,98055.22882729802,30
CU0,21,21,26369.895649123137,9
LC0,56,54,36173.142709445514,21
M0,40,40,12797.40817576992,22
AG0,54,53,5433.3407333823125,19
HC0,53,51,16063.46086173649,24
RB0,56,56,16094.685167040494,29
Y0,48,47,8348.329166264111,25
P0,84,83,5486.2655110583455,37
CF0,41,41,1638.0417624353322,10
IH0,72,71,72122.96991578865,29
JM0,85,85,115268.84786272941,52
I0,105,101,11795.434591821344,44
SR0,13,13,-249.09858112317124,6
TA0,87,85,4406.830935037315,32
LH0,68,67,68783.59692787525,33
FG0,99,97,35665.08109974462,42
OI0,78,77,4259.555925339109,33
SA0,97,90,46449.26255616253,46
AL0,20,20,-947.2656048255885,8
V0,58,58,1915.4019538903322,20
RU0,87,86,23789.39725701999,35
PP0,16,16,1755.0381113558706,8
MA0,73,73,9451.149379545099,34
RM0,101,97,10478.866277802654,44
SP0,79,77,9919.212468104024,30
C0,20,20,1400.9756728840466,6
NI0,74,73,30262.553632667972,27
AO0,89,89,11651.868945190827,30
SC0,64,61,65969.2435150007,27
BU0,77,76,6729.6973045283585,24
L0,24,24,4864.824886509641,14
EG0,48,48,14164.130929049334,21
SN0,63,63,31595.99142580133,25
EB0,53,53,-11239.136241128785,19
