code,name,date,close,score,grade,phase,ready,breakout,leg_pct,retrace_pct,l1,h1,l2,ma_bullish,rsi,vol_ratio,buy_signal,stop_loss,tp1,tp2
000001,平安银行,2026-06-12,11.24,75,A,LEG1,True,False,59.7,27.9,7.04,11.24,10.07,False,65.5,1.58,False,10.07,13.58,15.34
000063,中兴通讯,2026-06-12,36.35,75,A,READY,True,False,200.3,64.6,18.6,55.85,31.8,False,47.8,2.44,False,31.8,103.95,140.03
000100,TCL科技,2026-06-12,4.55,90,S,READY,True,False,69.1,53.3,3.04,5.14,4.02,True,56.9,1.86,False,4.02,7.38,9.06
000157,中联重科,2026-06-12,7.35,47,C,LEG1,True,False,143.6,65.3,4.17,10.16,6.25,False,31.8,1.06,False,6.25,17.98,23.84
000166,申万宏源,2026-06-12,4.53,57,B,LEG1,True,False,51.2,23.7,3.63,5.49,5.05,False,41.3,1.23,False,5.05,6.37,7.03
000301,东方盛虹,2026-06-12,11.88,70,A,LEG1,True,False,94.5,52.1,6.93,13.48,10.07,True,46.2,0.57,False,10.07,20.3,25.41
000333,美的集团,2026-06-12,83.23,95,S,LEG1,True,True,164.9,37.8,30.64,81.16,62.05,True,69.1,1.32,True,62.05,119.38,148.04
000338,潍柴动力,2026-06-12,28.0,77,A,BREAKOUT,True,False,316.4,38.3,7.25,30.19,21.4,True,44.3,1.19,False,21.4,47.77,60.96
000408,藏格矿业,2026-06-12,79.47,70,A,READY,True,False,413.6,35.4,18.65,95.78,68.5,True,46.5,0.85,False,68.5,150.34,191.26
000425,徐工机械,2026-06-12,9.12,55,B,LEG1,True,False,182.9,65.9,4.56,12.9,7.4,False,27.6,1.94,False,7.4,23.9,32.15
000538,云南白药,2026-06-12,50.6,57,B,LEG1,True,False,49.8,36.4,37.8,56.62,49.77,False,40.1,1.26,False,49.77,70.32,80.59
000568,泸州老窖,2026-06-12,85.0,47,C,LEG1,True,False,39.6,7.1,91.61,127.91,125.34,False,15.3,1.08,False,125.34,133.05,136.9
