date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2019-08-30,003816,2.47,4.66,4.73,2.47,12927112,6397960452.0,114.72,136.55,2.69,63.14
2019-09-06,003816,4.39,4.23,4.44,4.18,22638805,10897171664.0,5.58,-9.23,-0.43,110.58
2019-09-12,003816,4.26,4.02,4.27,3.99,8984514,4201189328.0,6.62,-4.96,-0.21,43.89
2019-09-20,003816,4.03,3.84,4.11,3.82,5884560,2621421568.0,7.21,-4.48,-0.18,28.74
2019-09-27,003816,3.83,3.71,4.12,3.69,7204267,3143593120.0,11.2,-3.39,-0.13,35.19
2019-09-30,003816,3.71,3.68,3.73,3.68,506970,213955162.0,1.35,-0.81,-0.03,2.48
2019-10-11,003816,3.68,3.67,3.75,3.54,3027620,1260708704.0,5.71,-0.27,-0.01,14.79
2019-10-18,003816,3.7,3.53,3.72,3.52,2874792,1192186823.0,5.45,-3.81,-0.14,14.04
2019-10-25,003816,3.53,3.46,3.58,3.42,2877550,1146713600.0,4.53,-1.98,-0.07,14.06
2019-11-01,003816,3.46,3.34,3.53,3.29,2713529,1064321278.0,6.94,-3.47,-0.12,13.25
2019-11-08,003816,3.33,3.24,3.36,3.22,2284840,868947138.0,4.19,-2.99,-0.1,11.16
2019-11-15,003816,3.22,2.95,3.23,2.91,3747631,1336524189.0,9.88,-8.95,-0.29,18.31
2019-11-22,003816,2.95,3.09,3.14,2.92,2845851,1011801657.0,7.46,4.75,0.14,13.9
2019-11-29,003816,3.09,2.97,3.14,2.94,2182149,778481917.0,6.47,-3.88,-0.12,10.66
2019-12-06,003816,2.98,3.01,3.02,2.93,1519992,532942228.0,3.03,1.35,0.04,7.42
2019-12-13,003816,3.02,3.04,3.07,2.99,2214396,786062985.0,2.66,1.0,0.03,10.82
2019-12-20,003816,3.04,3.17,3.24,3.03,3854477,1415615656.0,6.91,4.28,0.13,18.83
2019-12-27,003816,3.17,3.07,3.18,3.06,2003820,723348140.0,3.79,-3.15,-0.1,9.79
2020-01-03,003816,3.06,3.15,3.16,3.02,2238142,812113463.0,4.56,2.61,0.08,10.93
2020-01-10,003816,3.13,3.16,3.22,3.11,3853920,1419961084.0,3.49,0.32,0.01,18.82
2020-01-17,003816,3.16,3.11,3.2,3.11,1879851,690143862.0,2.85,-1.58,-0.05,9.18
2020-01-23,003816,3.11,3.05,3.24,2.99,2396949,874483945.0,8.04,-1.93,-0.06,11.71
2020-02-07,003816,2.69,2.71,2.73,2.43,2990811,952410862.0,9.84,-11.15,-0.34,14.61
2020-02-14,003816,2.7,2.73,2.84,2.68,2379003,778587036.0,5.9,0.74,0.02,11.62
2020-02-21,003816,2.74,2.85,2.92,2.73,3789310,1264096119.0,6.96,4.4,0.12,18.51
2020-02-28,003816,2.86,2.57,2.93,2.56,7652982,2479773321.0,12.98,-9.82,-0.28,30.31
2020-03-06,003816,2.57,2.7,2.73,2.57,5416751,1728731030.0,6.23,5.06,0.13,21.45
2020-03-13,003816,2.64,2.52,2.67,2.44,3949504,1229232418.0,8.52,-6.67,-0.18,15.64
2020-03-20,003816,2.55,2.42,2.56,2.38,2963396,880510631.0,7.14,-3.97,-0.1,11.74
2020-03-27,003816,2.39,2.42,2.45,2.37,2243448,657052642.0,3.31,0.0,0.0,8.89
2020-04-03,003816,2.4,2.38,2.42,2.36,1687069,490864042.0,2.48,-1.65,-0.04,6.68
2020-04-10,003816,2.4,2.39,2.44,2.38,1564497,458281976.0,2.52,0.42,0.01,6.2
2020-04-17,003816,2.39,2.4,2.44,2.37,1804395,526472686.0,2.93,0.42,0.01,7.15
2020-04-24,003816,2.39,2.36,2.4,2.36,1362660,394910093.0,1.67,-1.67,-0.04,5.4
2020-04-30,003816,2.36,2.33,2.38,2.28,1308420,373120416.0,4.24,-1.27,-0.03,5.18
2020-05-08,003816,2.31,2.4,2.45,2.3,1658401,478918223.0,6.44,3.0,0.07,6.57
2020-05-15,003816,2.38,2.35,2.42,2.33,1651177,477883599.0,3.75,-2.08,-0.05,6.54
2020-05-22,003816,2.35,2.3,2.35,2.29,1185846,337523261.0,2.55,-2.13,-0.05,4.7
2020-05-29,003816,2.29,2.3,2.33,2.28,897020,253479178.0,2.17,0.0,0.0,3.55
2020-06-05,003816,2.31,2.4,2.43,2.3,2715976,788227026.0,5.65,4.35,0.1,10.76
2020-06-12,003816,2.41,2.5,2.6,2.4,4802133,1453258635.0,8.33,4.17,0.1,19.02
2020-06-19,003816,2.5,2.52,2.59,2.49,2940567,898488571.0,4.0,0.8,0.02,11.65
2020-06-24,003816,2.51,2.45,2.52,2.45,914280,274134139.0,2.78,-2.78,-0.07,3.62
2020-07-03,003816,2.46,2.53,2.55,2.42,1912021,572550104.0,5.31,3.27,0.08,7.57
2020-07-10,003816,2.55,2.71,2.83,2.55,6957972,2234109904.0,11.07,7.11,0.18,27.56
2020-07-17,003816,2.69,2.61,2.84,2.58,4660926,1477418742.0,9.59,-3.69,-0.1,18.46
2020-07-24,003816,2.62,2.59,2.74,2.58,3130816,968938326.0,6.13,-0.77,-0.02,12.4
2020-07-31,003816,2.59,2.61,2.63,2.56,1630915,495012140.0,2.7,0.77,0.02,6.46
2020-08-07,003816,2.62,2.58,2.64,2.57,2202120,671236963.0,2.68,-1.15,-0.03,8.72
2020-08-14,003816,2.59,2.6,2.68,2.57,3058481,935961873.0,4.26,0.78,0.02,12.11
2020-08-21,003816,2.6,2.62,2.7,2.59,2962708,912381828.0,4.23,0.77,0.02,11.73
2020-08-28,003816,2.63,2.58,2.63,2.54,2360272,713349367.0,3.44,-1.53,-0.04,2.42
2020-09-04,003816,2.58,2.56,2.63,2.54,3143507,947996439.0,3.49,-0.78,-0.02,3.22
2020-09-11,003816,2.56,2.51,2.6,2.49,2974201,889399871.0,4.3,-1.95,-0.05,3.05
2020-09-18,003816,2.51,2.52,2.52,2.48,1529690,449501475.0,1.59,0.4,0.01,1.57
2020-09-25,003816,2.52,2.42,2.52,2.41,1282643,372736456.0,4.37,-3.97,-0.1,1.31
2020-09-30,003816,2.42,2.43,2.43,2.4,537997,153643745.0,1.24,0.41,0.01,0.55
2020-10-09,003816,2.44,2.45,2.46,2.43,250390,72392674.0,1.23,0.82,0.02,0.26
2020-10-16,003816,2.45,2.46,2.49,2.44,1198227,347810010.0,2.04,0.41,0.01,1.23
2020-10-23,003816,2.46,2.41,2.47,2.4,1168450,334805620.0,2.85,-2.03,-0.05,1.2
2020-10-30,003816,2.42,2.29,2.42,2.28,2091964,581360632.0,5.81,-4.98,-0.12,2.14
2020-11-06,003816,2.29,2.28,2.3,2.22,2163949,586570049.0,3.49,-0.44,-0.01,2.22
2020-11-13,003816,2.28,2.26,2.35,2.25,2424486,664123010.0,4.39,-0.88,-0.02,2.49
2020-11-20,003816,2.26,2.3,2.34,2.26,2843745,778288623.0,3.54,1.77,0.04,2.92
2020-11-27,003816,2.3,2.37,2.39,2.29,4200082,1168217387.0,4.35,3.04,0.07,4.31
2020-12-04,003816,2.38,2.38,2.41,2.33,4371718,1226822091.0,3.38,0.42,0.01,4.48
2020-12-11,003816,2.38,2.33,2.38,2.28,3709476,1026778126.0,4.2,-2.1,-0.05,3.8
2020-12-18,003816,2.34,2.36,2.39,2.28,3652714,1017269811.0,4.72,1.29,0.03,3.74
2020-12-25,003816,2.36,2.42,2.44,2.28,5456343,1524354731.0,6.78,2.54,0.06,5.59
2020-12-31,003816,2.41,2.38,2.49,2.35,5182754,1472808666.0,5.79,-1.65,-0.04,5.31
2021-01-08,003816,2.38,2.36,2.39,2.32,5021637,1402590186.0,2.94,-0.84,-0.02,5.15
2021-01-15,003816,2.35,2.43,2.54,2.29,8518211,2422924390.0,10.59,2.97,0.07,8.73
2021-01-22,003816,2.41,2.35,2.43,2.34,4318242,1221065899.0,3.7,-3.29,-0.08,4.43
