代码,周期,最新日期,收盘价,评分,等级,L1,H1,L2,首波涨幅%,回调幅度%,阶段,突破前高,均线多头,RSI,量比,止损价
600996,日线,2026-06-17,9.65,95,S,5.61,9.64,8.38,71.8,31.3,BREAKOUT,是,是,67.0,1.32,8.21
600906,日线,2026-06-17,7.41,95,S,5.49,6.74,6.23,22.8,40.8,BREAKOUT,是,是,70.6,1.5,6.11
600888,日线,2026-06-17,12.3,95,S,6.06,12.38,9.9,104.3,39.2,BREAKOUT,否,是,69.5,1.79,9.7
688665,日线,2026-06-17,59.56,95,S,21.91,58.12,47.01,165.3,30.7,BREAKOUT,是,是,71.1,1.36,46.07
688662,日线,2026-06-17,136.0,95,S,15.25,105.49,51.33,591.7,60.0,LEG1,是,是,64.3,1.74,50.3
688661,日线,2026-06-17,152.15,95,S,20.1,135.1,72.34,572.1,54.6,LEG1,是,是,74.3,1.42,70.89
688600,日线,2026-06-17,29.77,95,S,10.7,28.38,22.47,165.2,33.4,LEG1,是,是,74.6,1.39,22.02
688548,日线,2026-06-17,33.5,95,S,7.0,36.1,25.97,415.7,34.8,READY,否,是,64.7,1.33,25.45
301099,日线,2026-06-17,92.87,95,S,24.5,82.88,43.17,238.3,68.0,LEG1,是,是,73.1,1.75,42.31
301392,日线,2026-06-17,202.0,95,S,38.31,216.28,154.55,464.6,34.7,READY,否,是,74.6,1.87,151.46
301389,日线,2026-06-17,103.0,95,S,9.05,92.87,51.72,926.2,49.1,LEG1,是,是,69.0,1.32,50.69
301349,日线,2026-06-17,63.96,95,S,21.33,67.78,51.86,217.8,34.3,READY,否,是,65.3,1.34,50.82
688772,日线,2026-06-17,20.71,95,S,11.13,17.85,14.38,60.4,51.6,BREAKOUT,是,是,71.0,1.42,14.09
301314,日线,2026-06-17,54.33,95,S,22.77,54.5,44.99,139.4,30.0,BREAKOUT,否,是,59.1,1.71,44.09
688545,日线,2026-06-17,114.0,95,S,24.2,98.0,72.8,305.0,34.1,BREAKOUT,是,是,74.1,1.43,71.34
000029,日线,2026-06-17,28.57,95,S,9.51,31.11,21.9,227.1,42.6,READY,否,是,71.6,1.34,21.46
