代码,周期,最新日期,收盘价,评分,等级,L1,H1,L2,首波涨幅%,回调幅度%,阶段,突破前高,均线多头,RSI,量比,止损价
300145,周线,2026-06-19,5.55,95,S,2.02,5.68,4.16,181.2,41.5,READY,否,是,66.4,1.52,4.08
600578,周线,2026-06-19,8.02,95,S,2.61,5.96,4.78,128.4,35.2,BREAKOUT,是,是,62.5,1.35,4.68
603995,周线,2026-06-19,21.38,95,S,13.46,20.57,16.26,52.8,60.6,BREAKOUT,是,是,66.5,1.48,15.93
000969,周线,2026-06-19,24.65,95,S,6.14,31.12,19.08,406.8,48.2,READY,否,是,66.5,1.63,18.7
301566,周线,2026-06-19,39.86,95,S,11.7,27.25,18.73,132.9,54.8,BREAKOUT,是,是,73.1,1.4,18.36
300252,周线,2026-06-19,18.05,95,S,4.82,18.18,12.22,277.2,44.6,READY,否,是,70.8,1.36,11.98
002057,周线,2026-06-19,11.88,95,S,5.57,11.85,8.66,112.7,50.8,BREAKOUT,是,是,73.8,1.83,8.49
301565,周线,2026-06-19,27.22,95,S,16.24,27.0,22.84,66.3,38.7,LEG1,是,是,63.4,1.67,22.38
688625,周线,2026-06-19,93.65,95,S,26.2,75.88,50.47,189.6,51.1,BREAKOUT,是,是,62.0,1.63,49.46
600403,周线,2026-06-19,6.22,95,S,2.29,7.88,5.43,244.1,43.8,BREAKOUT,否,是,49.3,1.43,5.32
300853,周线,2026-06-19,29.31,95,S,11.09,24.66,17.5,122.4,52.8,BREAKOUT,是,是,46.7,1.87,17.15
002962,周线,2026-06-19,18.5,95,S,8.86,15.95,13.2,80.0,38.8,BREAKOUT,是,是,54.7,1.34,12.94
300976,周线,2026-06-19,89.06,95,S,27.11,68.68,52.6,153.3,38.7,BREAKOUT,是,是,67.9,2.18,51.55
000920,周线,2026-06-19,15.04,95,S,6.33,14.93,10.8,135.9,48.0,BREAKOUT,是,是,73.5,1.98,10.58
600596,周线,2026-06-19,15.99,95,S,6.5,14.04,10.4,116.0,48.3,BREAKOUT,是,是,74.0,1.8,10.19
002167,周线,2026-06-19,14.66,95,S,3.85,16.6,11.53,331.2,39.8,READY,否,是,66.1,1.36,11.3
300321,周线,2026-06-19,45.0,95,S,8.33,47.5,29.0,470.2,47.2,LEG1,否,是,62.6,1.4,28.42
301046,周线,2026-06-19,28.98,95,S,15.95,31.58,23.87,98.0,49.3,READY,否,是,61.9,1.6,23.39
002137,周线,2026-06-19,10.16,95,S,3.78,10.5,7.72,177.8,41.4,READY,否,是,65.0,1.61,7.57
603859,周线,2026-06-19,50.77,95,S,13.28,59.86,35.42,350.8,52.5,READY,否,是,67.1,1.51,34.71
000733,周线,2026-06-19,58.13,95,S,32.18,59.87,41.88,86.0,65.0,READY,否,是,63.9,1.79,41.04
688010,周线,2026-06-19,47.88,95,S,12.85,37.45,26.3,191.4,45.3,BREAKOUT,是,是,69.1,2.29,25.77
603020,周线,2026-06-19,13.89,95,S,5.43,11.88,9.33,118.8,39.5,BREAKOUT,是,是,74.2,2.31,9.14
600459,周线,2026-06-19,26.52,95,S,11.42,28.19,18.04,146.8,60.5,READY,否,是,73.7,1.46,17.68
002072,周线,2026-06-19,9.18,95,S,2.68,8.4,3.72,213.4,81.8,LEG1,是,是,71.7,1.4,3.65
300305,周线,2026-06-19,8.16,95,S,4.36,7.0,5.77,60.6,46.6,BREAKOUT,是,是,74.7,1.56,5.65
603060,周线,2026-06-19,7.28,95,S,5.35,7.29,5.93,36.3,70.1,LEG1,否,是,58.7,1.62,5.81
002106,周线,2026-06-19,14.78,95,S,6.55,12.93,10.03,97.4,45.5,BREAKOUT,是,是,72.6,1.34,9.83
688665,周线,2026-06-19,59.56,95,S,21.91,55.89,41.91,155.1,41.1,BREAKOUT,是,是,73.7,1.32,41.07
