 code market  close  score  entry_price  stop_loss    tp1    tp2
   657     SZ  79.00     95        79.00      45.55 101.83 129.97
603120     SH  57.84     95        57.84      44.86  82.66 101.56
   823     SZ  18.26     95        18.26      15.18  22.92  26.79
600869     SH  32.43     95        32.43      11.94  46.62  63.96
603155     SH  22.61     95        22.61      17.43  28.35  33.81
601137     SH  24.41     95        24.41      19.30  28.75  33.47
  2171     SZ  13.59     95        13.59      11.19  15.72  17.98
  2137     SZ   9.20     95         9.20       8.23  10.51  11.65
688783     SH  47.50     95        47.50      30.78  62.67  78.61
600459     SH  24.99     95        24.99      18.79  30.22  35.94
600498     SH  63.13     95        63.13      46.09  96.79 122.14
  2254     SZ  18.06     95        18.06      12.97  23.08  28.14
301302     SZ  32.30     95        32.30      24.01  41.02  49.52
301528     SZ  88.88     95        88.88      65.58  97.59 113.60
  2125     SZ  18.06     95        18.06      13.76  20.84  24.38
  2409     SZ 132.99     95       132.99     103.40 177.65 214.78
603773     SH 129.80     95       129.80      61.39 143.86 185.09
301313     SZ  59.30     95        59.30      42.66  82.68 102.69
300666     SZ 274.08     95       274.08     124.71 417.24 563.50
300558     SZ  53.86     95        53.86      46.56  67.53  78.01
  2203     SZ  23.44     95        23.44      18.81  32.22  38.93
605589     SH  58.32     95        58.32      28.67  88.16 117.90
603859     SH  51.41     95        51.41      41.00  64.25  75.88
603929     SH 218.08     95       218.08     144.11 356.03 461.99
300586     SZ  13.19     95        13.19      10.90  16.99  20.03
688689     SH  46.82     95        46.82      30.47  74.36  96.30
300665     SZ  11.03     95        11.03       9.23  13.58  15.75

